Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
congresswoman,vote,0.134615385,0.25,33,NA,NA,4.32,4.48,1.2304,11.37,13,NA,28,23,52
container,store,0.26744186,0.766666667,40,NA,NA,5.461538462,4.85,2.3424,6.5,9,20,30,26,77
contraceptive,prevent,0.243902439,0.384615385,24,NA,NA,5.391304348,3.89,1.2553,14.06,13,NA,26,23,38
controller,play,0.235294118,0.342857143,27,NA,NA,5.458333333,4.33,1.8261,10.32,10,NA,35,22,49
cookbook,cook,0.153153153,0.566666667,57,0.068,NA,5.68,4.9,1.5798,7.22,8,12,30,29,101
cookhouse,cook,0.24,0.444444444,22,NA,NA,4.423076923,4.62,0.301,10.71,9,NA,27,23,52
cookie,eat,0.247058824,0.75,38,0.054,NA,6.5,5,2.9309,3.37,6,17,28,24,86
cooler,store,0.172413793,0.517241379,39,NA,NA,5.625,4.14,2.5575,6.11,6,10,29,26,75
cop,help,0.084507042,0.214285714,47,NA,NA,4.458333333,4.3,3.6429,4.94,3,16,28,25,68
copier,copy,0.397260274,0.878787879,21,0.041,0.482071728,5.136363636,4.72,1.5185,8.17,6,14,33,30,69
copilot,fly,0.151515152,0.357142857,38,NA,NA,4.791666667,4.59,1.7404,8.72,7,NA,28,25,62
copper,sell,0.081632653,0.125,33,NA,NA,4.833333333,4.52,2.5276,7.95,6,17,32,25,58
copybook,write,0.222222222,0.4375,26,NA,NA,5,4.67,0.699,10.38,8,NA,32,26,61
cord,tie,0.134146341,0.35483871,39,NA,NA,6.103448276,4.63,2.5551,6,4,13,31,28,81
corduroy,wear,0.257142857,0.346153846,24,NA,NA,5.041666667,4.56,1.5441,10.47,8,NA,26,18,40
cork,plug,0.123076923,0.266666667,39,NA,NA,5.636363636,4.86,2.1673,9.05,4,7,30,22,65
corkscrew,open,0.254545455,0.538461538,30,NA,NA,6.04,4.85,1.7634,7.78,9,NA,26,23,52
corn,eat,0.218487395,0.722222222,41,0.043,0.059196044,6,4.96,2.8609,4.61,4,14,36,35,118
cornbread,eat,0.333333333,1,35,NA,NA,5.16,4.79,1.6721,6.4,9,NA,35,35,102
cornfield,grow,0.112068966,0.30952381,41,NA,NA,4.739130435,4.96,1.5682,6.42,9,NA,42,38,99
cornflakes,eat,0.298701299,0.793103448,34,NA,NA,5.6,4.82,1.415,5.32,10,NA,29,27,79
cornflower,eat,0.153846154,0.296296296,22,NA,NA,4.739130435,4.71,0.6021,8.05,10,NA,27,21,45
cornmeal,eat,0.263157895,0.6,21,NA,NA,5.913043478,4.83,1.1139,6.84,8,NA,25,22,61
cornstarch,cook,0.245901639,0.5,27,NA,NA,5.043478261,4.56,1,9.47,10,NA,30,26,58
corridor,walk,0.236842105,0.642857143,41,NA,NA,4.5,4.72,2.4548,9.11,8,5,28,27,79
corsage,wear,0.264705882,0.346153846,17,NA,NA,5.782608696,4.38,1.6902,11.47,7,NA,26,20,34
corset,wear,0.2,0.366666667,35,NA,NA,5.44,4.48,1.6628,10.67,6,NA,30,23,48
corvette,drive,0.293478261,0.710526316,33,NA,NA,5.875,4.76,NA,NA,8,NA,38,33,95
cosmetics,wear,0.170212766,0.275862069,25,NA,NA,5.75,4.72,1.9956,NA,9,13,29,21,47
costume,wear,0.191780822,0.4,38,NA,NA,6.28,4.57,2.8585,4.17,7,18,35,28,73
costumer,buy,0.1,0.185185185,41,NA,NA,4.434782609,4.04,0.9542,10.95,8,NA,27,20,48
cottage,live,0.21875,0.518518519,30,NA,NA,4.52173913,4.85,2.433,8.5,7,11,27,23,62
cotton,clean,0.122807018,0.225806452,37,NA,NA,5.28,4.97,2.8597,6,6,19,31,27,59
couch,sit,0.225490196,0.793103448,31,0.054,0.174451355,6.260869565,4.71,3.0785,3.74,5,12,29,29,105
council,decide,0.14,0.259259259,35,NA,NA,4.321428571,2.73,2.9365,10.63,7,NA,27,21,51
councilman,talk,0.089285714,0.185185185,37,NA,NA,4.869565217,4.26,1.8633,11.91,10,NA,27,21,47
councilwoman,represent,0.12244898,0.2,36,NA,NA,4.583333333,4.59,NA,11.65,12,NA,30,20,48
counselor,talk,0.259259259,0.538461538,21,NA,NA,4.375,4.24,2.705,9.33,9,NA,26,25,53
countrywoman,farm,0.074626866,0.178571429,46,NA,NA,4.44,4.25,0.7782,10.06,12,NA,28,22,59
coupon,save,0.2,0.37037037,26,NA,NA,4.821428571,4.79,2.0492,7.25,6,NA,27,25,47
courtyard,walk,0.128571429,0.333333333,37,NA,NA,4.392857143,4.57,2.0414,9.95,9,NA,27,23,62
cousin,friend,0.170731707,0.233333333,22,0.06,NA,5.375,3.7,3.3965,4.95,6,11,30,19,40
coverall,wear,0.263157895,0.606060606,32,NA,NA,4.739130435,4.36,0.6021,9.32,8,NA,33,28,67
cow,milk,0.224637681,0.815789474,35,0.352,NA,5.434782609,4.96,3.1146,3.94,3,10,38,35,101
cowhide,decorate,0.129032258,0.285714286,33,NA,NA,4.6,4.76,0.9031,11.44,7,NA,28,25,49
cowskin,decorate,0.14084507,0.322580645,26,NA,NA,4.652173913,4.81,0.301,9.11,7,NA,31,27,56
crab,eat,0.333333333,0.777777778,25,NA,0.017884512,NA,4.9,2.5478,5.28,4,21,27,24,59
crabgrass,eat,0.131147541,0.32,39,NA,NA,4.956521739,4.52,0.8451,10.83,9,NA,25,23,61
cracker,eat,0.309278351,0.46875,36,0.021,NA,5.24,4.96,2.4698,4.9,7,18,64,59,183
cradle,hold,0.209876543,0.435897436,33,0.062,NA,5.652173913,4.93,2.1644,5.22,6,5,39,36,73
craftsman,build,0.166666667,0.303030303,33,NA,NA,4.833333333,4,1.6812,8.8,9,NA,33,28,52
cranberry,eat,0.256756757,0.76,26,NA,0.031744381,5.458333333,4.96,2,6.45,9,NA,25,23,68
crane,lift,0.157894737,0.346153846,28,0.088,0.030900192,4.695652174,4.68,NA,6.78,5,11,26,22,56
crap,fertilize,0.139534884,0.1875,25,NA,NA,4.666666667,3.67,3.4986,6.5,4,NA,32,21,41
crate,store,0.194029851,0.464285714,37,NA,NA,5.304347826,4.93,2.3222,7.06,5,NA,28,25,63
crawfish,eat,0.266666667,0.727272727,33,NA,NA,4.666666667,5,1.1461,8.74,8,NA,33,28,84
crayfish,eat,0.292307692,0.730769231,26,NA,NA,5.043478261,4.93,0.4771,9.35,8,NA,26,22,63
crayon,color,0.188976378,0.705882353,36,0.483,NA,6.36,4.87,1.3424,3.2,6,12,34,29,114
cream,cook,0.154761905,0.342105263,39,NA,NA,5.153846154,4.83,3.3953,5.95,5,14,38,30,79
creamer,drink,0.176470588,0.243243243,22,NA,NA,5.24,4.66,1.5682,8.72,7,NA,37,25,49
creature,pet,0.083333333,0.178571429,42,NA,NA,4.833333333,4.07,3.0386,7.32,8,17,28,23,63
creek,swim,0.204819277,0.607142857,29,0.014,NA,4.52,4.87,NA,5.89,5,13,28,26,68
crepe,eat,0.28125,0.794117647,34,NA,NA,5.416666667,4.5,1.6335,10.89,5,NA,34,30,91
crewman,work,0.228070175,0.5,37,NA,NA,4.291666667,4.39,1.7076,10,7,NA,26,21,52
crib,sleep,0.222222222,0.461538462,24,NA,NA,5.56,4.86,2.5011,6.05,4,4,26,20,54
cricket,eat,0.166666667,0.37037037,27,NA,NA,4.653846154,4.77,2.1614,7.72,7,14,27,23,54
crisps,eat,0.337349398,0.756756757,34,NA,NA,5.130434783,4.04,1.1461,NA,6,NA,37,34,82
critter,pet,0.139534884,0.333333333,50,NA,NA,4.863636364,4.19,1.8195,7.14,7,NA,36,27,78
crocodile,eat,0.196428571,0.423076923,31,NA,NA,4.291666667,4.83,2.0645,5.11,9,14,26,20,53
croissant,eat,0.301587302,0.633333333,26,NA,NA,6,4.96,1.6628,10.15,9,NA,30,22,59
crop,eat,0.162162162,0.444444444,28,NA,NA,4.833333333,4.24,2.3962,7.63,4,NA,27,22,70
croquet,play,0.372881356,0.666666667,23,NA,NA,4.84,4.59,1.6532,11.06,7,NA,33,27,61
croquette,play,0.208333333,0.384615385,25,NA,NA,4.681818182,4.24,0.4771,9.08,9,NA,26,21,49
cross,pray,0.111111111,0.171428571,26,NA,NA,5,4.44,3.4484,4.74,5,18,35,23,51
crossbar,hit,0.079365079,0.142857143,40,NA,NA,5.043478261,4.57,0.7782,11.1,8,NA,35,28,63
crossbow,shoot,0.273972603,0.769230769,32,NA,NA,5.541666667,4.77,1.7559,10.67,8,NA,26,26,70
crosswalk,walk,0.32,0.75,23,NA,NA,4.714285714,4.62,1.3424,6.61,9,NA,32,28,72
crossword,play,0.095238095,0.176470588,37,NA,NA,4.555555556,4.48,1.9542,7.21,9,NA,34,23,60
crotch,kick,0.137931034,0.129032258,20,NA,NA,5.6,4.77,2.1492,8.94,6,NA,31,20,29
crouton,eat,0.228070175,0.464285714,28,NA,NA,5.724137931,4.9,1.1461,8.17,7,NA,28,21,58
crowbar,open,0.17721519,0.411764706,37,NA,NA,6.25,4.87,1.8261,8.72,7,NA,34,31,77
crown,wear,0.338709677,0.7,33,NA,NA,6.173913043,4.81,2.8445,7.8,5,8,30,23,60
crucifix,hang,0.109375,0.21875,37,NA,NA,5.68,4.45,1.7853,9.05,8,NA,32,27,64
cruiser,drive,0.183333333,0.379310345,31,NA,NA,4.304347826,3.78,2.2122,10.26,7,NA,29,25,58
crumb,eat,0.231707317,0.575757576,28,NA,NA,4.45,4.8,1.9685,5.89,5,12,33,25,79
crumpet,eat,0.333333333,0.8125,30,NA,NA,5.136363636,4.81,1.2553,11.85,7,NA,32,30,76
crust,eat,0.280898876,0.675675676,37,NA,NA,5.125,4.59,2.2227,5.95,5,7,37,30,86
crutch,walk,0.191780822,0.466666667,33,0.024,NA,5.8,4.5,1.8325,7.21,6,21,30,29,70
crypt,bury,0.155172414,0.290322581,36,NA,NA,4.541666667,4.75,1.8513,10.68,5,NA,31,22,57
crystal,decorate,0.068965517,0.114285714,35,NA,NA,4.37037037,4.58,2.9159,7.78,7,15,35,27,62
cube,throw,0.125,0.290322581,41,NA,NA,4.75,4.62,2.1847,7.32,4,11,31,25,68
cubical,work,0.164179104,0.35483871,31,NA,NA,4.36,4.21,0.301,11.2,7,NA,31,26,64
cucumber,eat,0.261538462,0.68,26,NA,0.160798661,6.04,4.83,2.0086,5.72,8,8,25,22,65
cuff,arrest,0.166666667,0.28,29,NA,NA,5.333333333,4.61,2.4654,8.44,4,12,25,20,40
cuisine,eat,0.25,0.6,36,NA,NA,4.652173913,3.7,2,11.67,7,NA,35,29,72
cup,drink,0.235294118,0.740740741,33,0.049,0.188453902,6.043478261,5,3.4208,3.57,3,10,27,26,81
cupboard,store,0.37254902,0.703703704,19,NA,NA,5.782608696,4.79,2.1072,6.39,8,15,27,21,44
curb,hit,0.152941176,0.393939394,39,NA,NA,4.72,4.68,2.3222,6.81,4,14,33,29,82
curd,eat,0.321428571,0.642857143,27,NA,NA,4.875,4.19,1.3617,10.17,4,NA,28,24,59
curler,curl,0.274509804,0.451612903,17,NA,NA,4.454545455,4.13,0.7782,7.62,6,NA,31,23,43
curry,eat,0.285714286,0.538461538,21,NA,NA,4.565217391,4.84,2.0969,13.28,5,NA,26,21,40
curtain,block,0.171428571,0.514285714,43,NA,NA,5.875,4.82,2.721,4.95,7,12,35,30,95
cushion,sit,0.238095238,0.588235294,35,0.022,0.132739805,5.75,4.68,2.0453,5.53,7,12,34,30,81
custard,eat,0.306451613,0.655172414,30,NA,NA,4.956521739,4.85,1.8129,8.5,7,14,29,24,65
custodian,clean,0.339285714,0.730769231,32,NA,NA,4.481481481,4.64,1.699,8.05,9,NA,26,23,51
customer,talk,0.117647059,0.296296296,40,NA,NA,5.541666667,3.82,2.8899,7.21,8,21,27,24,63
cuticle,cut,0.191176471,0.393939394,28,NA,NA,5.08,4.94,1.301,11.82,7,NA,33,32,67
cutlery,eat,0.192307692,0.535714286,36,NA,NA,5.913043478,4.75,1.2788,9.89,7,NA,28,26,80
cutlet,eat,0.209677419,0.464285714,27,NA,NA,5.272727273,4.52,1.2788,11.76,6,NA,28,21,57
cuttlefish,eat,0.222222222,0.5,27,NA,NA,4.454545455,4.23,1.0414,12.88,10,NA,28,23,60
cymbal,music,0.180722892,0.483870968,37,NA,NA,5.958333333,4.92,1.1461,9.94,6,NA,31,28,70
cymbals,play,0.142857143,0.392857143,41,NA,NA,5.695652174,4.88,1.3979,8.13,7,NA,28,26,67
dachshund,pet,0.172043011,0.592592593,33,NA,NA,5.125,4.67,1.2788,9.17,9,NA,27,26,89
dad,love,0.1,0.109090909,35,NA,NA,5.416666667,4.29,NA,2.58,3,5,55,42,108
daffodil,smell,0.127272727,0.269230769,32,NA,NA,5.045454545,4.96,1.0414,5.63,8,NA,26,21,53
dagger,stab,0.16,0.275862069,40,0.03,0.587525692,5.923076923,4.96,2.4014,8.44,6,10,58,56,172
daiquiri,drink,0.379746835,0.882352941,29,NA,NA,5.454545455,4.62,1.6232,15.47,8,NA,34,32,77
dairy,drink,0.228571429,0.444444444,29,NA,NA,4.28,4.45,2.1553,6.85,5,13,36,27,82
daisy,smell,0.122641509,0.382352941,42,NA,NA,5,5,NA,5.55,5,8,34,28,92
damsel,distress,0.195121951,0.258064516,20,NA,NA,4.652173913,3.88,1.6628,7.83,6,NA,31,24,35
dance,exercise,0.097826087,0.243243243,44,0.02,NA,4.44,4.32,3.878,4.63,5,19,37,32,81
dancer,dance,0.210526316,0.5,34,0.013,NA,5.090909091,4.75,2.9201,6,6,23,32,29,74
dandelion,blow,0.112676056,0.307692308,41,NA,NA,5.826086957,5,1.2041,5.11,9,7,26,24,63
dandruff,flake,0.142857143,0.205882353,26,NA,NA,4.72,4.79,1.6232,10.74,8,13,34,22,39
darkroom,sleep,0.303030303,0.625,24,NA,NA,4.416666667,4.45,1.6532,11.67,8,NA,32,27,63
dart,throw,0.262626263,0.702702703,43,0.081,0.195128465,5.291666667,4.9,1.9956,7.38,4,13,37,35,94
dartboard,play,0.191780822,0.4375,34,NA,NA,5.608695652,4.75,0.8451,8.44,9,NA,32,27,71
daughter,love,0.181818182,0.41025641,41,NA,NA,5.192307692,4.79,3.9415,4.95,8,13,39,33,84
daybed,sleep,0.267605634,0.703703704,23,NA,NA,5.28,4.41,0.301,9.67,6,NA,27,26,69
debris,clean,0.1,0.21875,45,NA,NA,4.75,4.69,2.2041,11.22,6,NA,32,28,66
deck,sit,0.113924051,0.333333333,47,NA,NA,5.541666667,4.77,3.0839,6.45,4,15,27,27,82
decor,decorate,0.132352941,0.272727273,42,NA,NA,4.538461538,3.77,1.7243,10.89,5,NA,33,26,65
deer,eat,0.196428571,0.44,23,NA,NA,4.416666667,4.86,2.6484,5.17,4,18,25,21,53
deerskin,clothes,0.153846154,0.432432432,39,NA,NA,4.826086957,4.9,0.301,NA,8,NA,37,27,65
defendant,defend,0.15,0.193548387,25,NA,NA,4.291666667,3.8,2.9566,11.42,9,NA,31,21,40
delicatessen,buy,0.245614035,0.5,25,NA,NA,4.347826087,4.28,1.6232,12.06,12,NA,28,23,57
deliverer,deliver,0.214285714,0.387096774,31,NA,NA,4.52173913,3.72,0.699,8.11,9,NA,31,26,52
deliveryman,deliver,0.317073171,0.481481481,24,NA,NA,4.44,4.23,0.9031,7.76,11,NA,27,24,41
democrat,vote,0.24137931,0.25,19,NA,NA,4.416666667,3.96,NA,11.21,8,11,28,20,28
den,sleep,0.125,0.333333333,31,NA,NA,4.333333333,4.57,2.4955,5.7,3,NA,24,24,63
denim,wear,0.224137931,0.206349206,33,NA,NA,5.416666667,4.77,1.5315,8.22,5,6,63,48,143
dentist,clean,0.202380952,0.5,38,NA,NA,5.038461538,4.93,2.7574,5.22,7,8,34,29,87
deodorant,smell,0.29787234,0.56,23,0.372,0.139973056,6.36,5,1.9191,8.83,9,17,25,20,45
dermatologist,treat,0.083333333,0.172413793,37,NA,NA,4.92,4.21,1.4624,12.62,13,NA,29,24,57
derriere,sit,0.213114754,0.464285714,42,NA,NA,5.5,4.65,1.2553,13.12,8,NA,28,26,62
desert,dry,0.095238095,0.117647059,29,0.133,NA,4.291666667,4.86,3.1547,8.35,6,8,34,27,51
desk,work,0.148648649,0.407407407,34,0.069,NA,6.260869565,4.87,3.3502,5.56,4,18,27,25,73
dessert,eat,0.280701754,0.888888889,44,NA,NA,5.695652174,4.93,2.8549,5.61,7,13,36,33,111
detergent,clean,0.35483871,0.6875,18,0.163,NA,5.227272727,4.77,1.7243,7.33,9,12,32,29,54
detonator,explode,0.14893617,0.28,28,NA,NA,4.68,4.76,2.0864,10.63,9,NA,25,22,44
device,call,0.09009009,0.277777778,74,NA,NA,5.75,3.97,2.9671,8.06,6,18,36,30,100
diagram,explain,0.072727273,0.148148148,35,NA,NA,4.5,4.36,1.8195,9.63,7,13,27,25,53
diamond,mine,0.153846154,0.384615385,31,NA,NA,5.304347826,4.89,3.0228,6.47,7,17,26,21,71
diaper,wear,0.140625,0.3,31,NA,NA,5.64,4.82,2.3404,3.4,6,9,30,25,63
diaphragm,breathe,0.380952381,0.592592593,24,NA,NA,4.269230769,3.93,2.0253,12.58,9,NA,27,23,47
dice,roll,0.142857143,0.366666667,26,0.124,NA,6.192307692,4.86,2.7275,6.37,4,23,30,26,67
dictionary,read,0.214285714,0.535714286,35,NA,0.560098584,6.04,4.62,2.281,7.28,10,8,28,26,72
dietician,advice,0.107142857,0.264705882,45,NA,NA,4.72,4.14,0.6021,12.35,9,NA,34,27,78
dildo,sex,0.113924051,0.28125,45,NA,NA,6.52173913,4.7,1.8388,15.41,5,NA,32,24,73
dime,pay,0.166666667,0.428571429,35,NA,NA,6.083333333,4.85,2.7896,5.74,4,9,35,31,90
diner,eat,0.284313725,0.828571429,31,0.139,NA,4.375,4.82,2.8014,6.83,5,12,35,33,101
dinner,eat,0.258064516,0.774193548,44,0.114,NA,5.545454545,4.5,4.0144,3.99,6,5,31,26,84
dinnerware,eat,0.308641975,0.862068966,32,NA,NA,5.916666667,4.79,0.9031,8.9,10,NA,29,29,83
dip,eat,0.347826087,0.571428571,21,NA,NA,4.535714286,4.22,2.6096,7,3,16,28,24,47
diploma,display,0.12962963,0.225806452,34,NA,NA,5.96,4.93,2.1139,9.33,7,11,31,24,58
dipper,dip,0.081632653,0.148148148,34,NA,NA,4.909090909,4.21,NA,7.72,6,NA,27,22,54
dipstick,check,0.257142857,0.3,15,NA,NA,5.185185185,3.81,1.415,10.78,8,NA,30,22,34
dirt,plant,0.122641509,0.351351351,47,0.012,NA,5.08,4.86,3.1176,3.83,4,18,37,33,98
dish,eat,0.159090909,0.5,32,0.024,0.404736397,5.8,4.9,2.7672,4.89,4,15,28,27,91
dishwasher,clean,0.310810811,0.793103448,29,0.144,NA,5.592592593,4.86,2.017,7.16,10,18,29,28,70
dishwater,clean,0.196428571,0.44,29,NA,NA,5.2,4.61,1.0792,6.39,9,NA,25,21,60
dispenser,dispense,0.222222222,0.285714286,22,NA,NA,4.708333333,3.84,1.7243,7.94,9,NA,28,21,39
dividers,separate,0.229166667,0.44,23,NA,NA,4.384615385,4.29,0.4771,8.44,8,NA,25,22,47
divorcee,marry,0.137254902,0.212121212,35,NA,NA,4.5,3.8,1.3979,11.63,8,NA,33,24,51
dock,sit,0.088235294,0.243243243,51,NA,NA,4.541666667,4.64,2.6972,8.22,4,10,37,30,95
doctor,help,0.088888889,0.266666667,52,0.03,NA,5.68,4.69,4.1291,4.6,6,19,30,28,92
document,read,0.08974359,0.24137931,41,NA,NA,4.818181818,4.41,2.7126,9.86,8,17,29,21,71
dog,pet,0.155339806,0.516129032,37,NA,NA,6.4,4.85,3.9928,2.8,3,5,31,28,91
dogcatcher,catch,0.376811594,0.722222222,26,NA,NA,4.72,4.35,1.2788,6.05,10,NA,36,32,65
doghouse,shelter,0.140350877,0.25,29,NA,NA,5.076923077,4.79,1.7634,6.74,8,NA,32,27,53
doll,play,0.226086957,0.787878788,48,0.058,NA,6.434782609,5,3.1017,3.68,4,13,33,30,110
dollar,spend,0.193548387,0.5,35,NA,NA,6.24,4.93,3.1495,5.06,6,9,36,33,95
dollhouse,play,0.279069767,0.888888889,40,NA,NA,5.826086957,4.86,1.3617,4.86,9,NA,27,25,79
dolphin,swim,0.272727273,0.555555556,27,0.036,0.22279255,4.52,4.96,2.1523,6.05,7,18,27,24,56
dominoes,play,0.316666667,0.387755102,26,NA,NA,5.703703704,4.66,1.6628,7.7,8,NA,49,43,108
donkey,ride,0.2,0.653846154,40,0.014,0.107637946,4.826086957,5,2.4378,6,6,10,26,23,75
donut,eat,0.282051282,0.891891892,43,NA,NA,NA,4.93,1.8633,NA,5,NA,37,37,115
door,open,0.194174757,0.689655172,40,0.183,NA,6.217391304,4.81,4.1731,3.05,4,23,29,28,96
doorbell,ring,0.342857143,0.685714286,31,0.592,NA,5.916666667,4.82,2.6294,5.05,8,10,35,30,61
doorframe,hold,0.096774194,0.222222222,34,NA,NA,5.086956522,4.79,0.6021,8.39,9,NA,27,25,59
doorknob,turn,0.189873418,0.576923077,23,NA,NA,6.518518519,4.97,1.9395,4.7,8,NA,26,26,82
doorknocker,knock,0.25974026,0.606060606,38,NA,NA,5.52173913,4.7,0.7782,7.06,11,NA,33,30,77
doorman,open,0.1875,0.333333333,21,NA,NA,4.68,4.79,2.2122,9.32,7,NA,27,22,45
doornail,hang,0.159090909,0.269230769,30,NA,NA,5.4,4.9,1.5682,8.14,8,NA,26,24,41
doorstep,step on,0.166666667,0.4375,40,NA,NA,5.333333333,5,2.238,6.11,8,NA,32,30,84
doorstop,hold,0.176470588,0.333333333,23,NA,NA,5.260869565,4.82,1.1461,6.61,8,NA,27,21,51
dorm,sleep,0.195121951,0.551724138,38,0.036,NA,4.32,4.41,2.5682,9.89,4,16,29,24,85
dormitory,sleep,0.3,0.75,27,NA,NA,4.821428571,4.64,1.716,11.22,9,NA,28,26,70
douche,clean,0.205882353,0.25,24,NA,NA,4.652173913,4.13,2.0828,13.39,6,NA,28,22,39
dough,bake,0.219178082,0.533333333,27,NA,NA,6.086956522,4.79,2.909,6.63,5,13,30,26,79
doughnut,eat,0.350877193,0.740740741,33,0.015,NA,6.260869565,4.96,2.3345,5.42,8,15,27,25,57
dove,pet,0.139534884,0.222222222,28,NA,NA,4.333333333,4.88,2.4548,6.63,4,11,27,21,40
drain,empty,0.117647059,0.176470588,32,0.055,NA,4.291666667,4.61,2.6444,6.26,5,19,34,28,56
drainpipe,drain,0.225352113,0.432432432,37,NA,NA,4.875,4.86,1.4624,9.11,9,NA,37,33,69
drapery,cover,0.132075472,0.28,29,NA,NA,4.68,4.32,0.6021,12,7,NA,25,21,43
drawers,store,0.192307692,0.571428571,39,NA,NA,5.869565217,4.96,2.3404,6.05,7,NA,35,35,149
drawing,create,0.076923077,0.1875,44,NA,NA,4.695652174,4.6,2.9128,4.83,7,15,32,29,73
drawstring,tie,0.282608696,0.52,22,NA,NA,5.28,4.74,0.6021,9.72,10,NA,25,21,47
dress,wear,0.22972973,0.68,37,0.016,NA,6.16,4.93,3.6482,4.05,5,15,25,22,69
dresser,store,0.214285714,0.48,28,NA,NA,5.04,4.96,2.2625,4.28,7,14,25,20,57
dressing,eat,0.180555556,0.342105263,33,NA,NA,5.08,4.03,2.9058,5.68,8,14,38,28,71
dressmaker,sew,0.163265306,0.296296296,28,NA,NA,4.875,4.64,1.4624,9.3,10,NA,27,24,55
driftwood,burn,0.097222222,0.24137931,37,NA,NA,5.416666667,4.88,1.6435,9.53,9,NA,29,26,69
drill,build,0.074074074,0.153846154,32,NA,NA,5.739130435,4.4,2.8463,7.14,5,19,26,25,55
drink,drink,0.203389831,0.48,38,NA,1,6.074074074,4.76,4.101,3.47,5,20,25,20,57
driver,drive,0.333333333,0.428571429,20,NA,0.265762991,4.565217391,4.71,3.3833,4.95,6,16,28,20,31
drone,fly,0.134831461,0.461538462,46,NA,NA,4.291666667,3.93,2.1614,10.11,5,NA,26,24,75
drug,take,0.0875,0.225806452,44,NA,NA,5.375,4.48,3.363,8.11,4,20,31,28,81
drugstore,medicine,0.209677419,0.419354839,25,NA,NA,5.260869565,4.82,2.3424,7.53,9,NA,31,25,49
drum,beat,0.154929577,0.407407407,33,0.096,NA,5.8,4.96,2.6365,4.63,4,16,27,24,63
drumstick,play,0.177777778,0.516129032,32,NA,NA,5.708333333,4.96,1.2788,7.79,9,NA,31,29,76
dryer,dry,0.345454545,0.633333333,30,NA,NA,5.56,4.79,2.3655,6.16,5,9,30,26,54
drywall,build,0.175675676,0.382352941,40,NA,NA,5.208333333,4.7,1.2304,12.06,7,NA,34,29,64
duck,eat,0.114942529,0.333333333,37,NA,NA,5.041666667,4.86,3.1017,3.5,4,16,30,25,79
duckling,pet,0.156862745,0.296296296,29,NA,NA,5.125,4.93,1.6021,4.95,8,NA,27,21,54
duckweed,eat,0.085106383,0.153846154,32,NA,NA,4.4,4.29,0.301,13.2,8,NA,26,22,46
ductwork,condition,0.108108108,0.153846154,25,NA,NA,4.52173913,4.81,0.699,12.6,8,NA,26,22,35
dude,talk,0.1,0.189189189,49,NA,NA,5,3.93,3.7052,7.89,4,NA,37,23,70
duffel,carry,0.254901961,0.464285714,29,NA,NA,4.380952381,4.12,1.8865,10.11,6,NA,28,22,51
dumbbell,lift,0.2,0.588235294,34,NA,NA,5.958333333,4.69,1.415,7.56,8,NA,34,30,84
dumbwaiter,carry,0.090909091,0.192307692,30,NA,NA,4.44,4.55,1.2304,11.47,10,NA,26,24,52
dumpling,eat,0.275362319,0.76,29,NA,NA,4.826086957,4.65,1.6628,8.5,8,NA,25,24,64
dust,clean,0.428571429,0.413793103,14,0.122,NA,4.827586207,4.4,3.0853,5.06,4,16,29,24,32
dustbin,clean,0.113924051,0.310344828,36,NA,NA,5.708333333,4.54,0.9031,9.28,7,NA,29,26,73
duster,clean,0.42,0.777777778,17,NA,NA,5.32,4.64,1.3222,8.11,6,NA,27,25,49
dwarf,friend,0.117647059,0.142857143,25,NA,NA,4.333333333,4.45,2.1987,7.65,5,9,28,20,38
dwelling,live,0.203389831,0.428571429,32,NA,NA,4.857142857,4.14,1.8388,9.05,8,NA,28,20,59
dye,color,0.3,0.636363636,28,NA,NA,4.52173913,4.58,2.2967,7.56,3,NA,33,25,64
dynamite,explode,0.345238095,0.878787879,35,0.066,NA,5.260869565,4.68,2.7126,7.11,8,16,33,31,75
ear,listen,0.246153846,0.533333333,27,0.035,0.416297199,6.652173913,5,3.213,3.63,3,14,30,28,67
earmuff,warm,0.293103448,0.653846154,22,NA,NA,6.260869565,4.85,0.6021,7,7,NA,26,24,61
earphone,listen,0.22826087,0.636363636,37,NA,NA,5.52173913,4.74,0.8451,9.45,8,NA,33,32,80
earpiece,hear,0.2,0.358974359,31,NA,NA,5.76,4.79,1.4472,10.28,8,NA,39,34,65
earplug,block,0.220338983,0.393939394,30,NA,NA,6.111111111,4.82,0.6021,7.58,7,NA,33,27,51
earplugs,block,0.181818182,0.482758621,36,NA,NA,6.541666667,4.9,1.6435,NA,8,NA,29,26,75
earring,wear,0.241758242,0.733333333,43,NA,NA,6.428571429,4.96,2.143,7.17,7,11,30,26,91
earth,live,0.215384615,0.466666667,37,NA,NA,5.555555556,4.8,3.7054,5.37,5,12,30,24,69
earthworm,feed,0.118644068,0.28,34,NA,NA,4.916666667,4.89,0.9031,5.35,9,NA,25,21,57
earwax,clean,0.208333333,0.333333333,26,NA,NA,5.041666667,4.87,1,6.39,6,NA,30,27,51
easel,paint,0.257142857,0.580645161,29,NA,NA,4.72,4.97,1.1761,7,5,NA,31,26,73
eclair,eat,0.37037037,0.740740741,23,NA,NA,6.166666667,4.75,1.0414,10.76,6,NA,27,22,51
ecologist,study,0.277777778,0.37037037,21,NA,NA,4.458333333,3.68,0.4771,12.65,9,NA,27,20,29
