"cue","response","AFSS"
"abdomen","plank",30
"abdomen","situp",30
"abdomen","touch",30
"abdomen","punch",30
"abdomen","workout",30
"abdomen","contain",30
"abdomen","digest",30
"abdomen","breathe",30
"abdomen","store",30
"abdomen","hold",30
"abdomen","bump",30
"abdomen","paint",30
"abdomen","push",30
"abdomen","rest",30
"abdomen","exercise",30
"abdomen","focus",30
"abdomen","protect",30
"abdomen","inflect",30
"abdomen","create",30
"abdomen","eat",30
"abdomen","move",30
"abdomen","flex",30
"abdomen","house",30
"abdomen","cut",30
"abdomen","surgery",30
"abdomen","straighten",30
"abdomen","research",30
"abdomen","hurt",30
"abdomen","heal",30
"abdomen","pierce",30
"absinthe","kill",19
"absinthe","drink",19
"absinthe","spill",19
"absinthe","consume",19
"absinthe","stir",19
"absinthe","treat",19
"absinthe","medicate",19
"absinthe","drunk",19
"absinthe","look",19
"absinthe","taste",19
"absinthe","pick",19
"absinthe","touch",19
"absinthe","smell",19
"absinthe","eat",19
"absinthe","bathe",19
"absinthe","clean",19
"absinthe","shower",19
"absinthe","pour",19
"absinthe","die",19
"accessory","wear",23
"accessory","create",23
"accessory","share",23
"accessory","hear",23
"accessory","give",23
"accessory","find",23
"accessory","return",23
"accessory","lose",23
"accessory","burn",23
"accessory","buy",23
"accessory","sell",23
"accessory","help",23
"accessory","assist",23
"accessory","decorate",23
"accessory","show",23
"accessory","look",23
"accessory","earring",23
"accessory","charge",23
"accessory","draw",23
"accessory","store",23
"accessory","make",23
"accessory","throw",23
"accessory","hold",23
"accordion","music",21
"accordion","play",21
"accordion","move",21
"accordion","squeeze",21
"accordion","listen",21
"accordion","practice",21
"accordion","enjoy",21
"accordion","break",21
"accordion","step on",21
"accordion","cut",21
"accordion","draw",21
"accordion","create",21
"accordion","buy",21
"accordion","sell",21
"accordion","steal",21
"accordion","learn",21
"accordion","teach",21
"accordion","press",21
"accordion","come",21
"accordion","entertain",21
"accordion","perform",21
"accountant","count",27
"accountant","calculate",27
"accountant","add",27
"accountant","subtract",27
"accountant","multiply",27
"accountant","divide",27
"accountant","tabulate",27
"accountant","pay",27
"accountant","help",27
"accountant","ask",27
"accountant","file",27
"accountant","combine",27
"accountant","track",27
"accountant","spend",27
"accountant","tax",27
"accountant","bank",27
"accountant","talk",27
"accountant","record",27
"accountant","call",27
"accountant","organize",27
"accountant","see",27
"accountant","manage",27
"accountant","speak",27
"accountant","study",27
"accountant","advisor",27
"accountant","note",27
"accountant","paperwork",27
"acne","rid",25
"acne","treat",25
"acne","scare",25
"acne","identify",25
"acne","experiment",25
"acne","spread",25
"acne","self-degradation",25
"acne","bully",25
"acne","medicate",25
"acne","study",25
"acne","annoy",25
"acne","iritate",25
"acne","care",25
"acne","bump",25
"acne","pop",25
"acne","pick",25
"acne","clean",25
"acne","cover",25
"acne","break",25
"acne","irritate",25
"acne","blotch",25
"acne","clear",25
"acne","wash",25
"acne","control",25
"acne","hide",25
"acorn","bury",23
"acorn","pick up",23
"acorn","rake",23
"acorn","step on",23
"acorn","throw",23
"acorn","plant",23
"acorn","eat",23
"acorn","collect",23
"acorn","food",23
"acorn","create",23
"acorn","feed",23
"acorn","decorate",23
"acorn","bait",23
"acorn","crush",23
"acorn","store",23
"acorn","grow",23
"acorn","fight",23
"acorn","crack",23
"acorn","cook",23
"acorn","smash",23
"acorn","give",23
"acorn","kick",23
"acorn","see",23
"acrobat","fight",23
"acrobat","act",23
"acrobat","dance",23
"acrobat","work",23
"acrobat","perform",23
"acrobat","sneak",23
"acrobat","trick",23
"acrobat","hurt",23
"acrobat","revenue",23
"acrobat","entertain",23
"acrobat","teach",23
"acrobat","watch",23
"acrobat","talk",23
"acrobat","compliment",23
